"Timestamp","I agree to take part in this survey under the conditions explained to me above:","Please specify your gender:","Please specify your current age:","Approximately how far would you say you live from the coast?","On average, how many trips do you make to the coast annually?","Would your household be willing to pay £5 per year in extra annual income tax to implement this policy?","For those against paying anything for this policy, could you please describe why?","What payment would you choose?","Scenario One: Please Indicate which option you prefer","Scenario Two: Please Indicate which option you prefer","Scenario Three: Please Indicate which option you prefer","""I feel like I can do something about plastic waste in the sea""","Please indicate the degree to which you think marine plastic pollution presents a threat to yourself","Please indicate the degree to which you think marine plastic pollution presents a threat to others","Please indicate the degree to which you think marine plastic pollution presents a threat to the marine environment","Have you seen the 'Blue-Planet II' TV series?","Who do you think has the responsibility for reducing marine plastics? Please select as many as you think","Have you ever donated/been a member of a charity related to environmental causes?","Could you please indicate your understanding of marine microplastics? Select one.","Do you think the results of this survey will matter to how companies and regulators change their behaviour?","How confident are you in the ability of experts to provide reliable information about marine pollution?","Could you indicate your highest completed level of education?","How would you describe your current employment status?","Could you please indicate your approximate average monthly income before tax?","On a scale of 1-10, how easy was this survey to understand?","As this is the pilot version we are looking for any and all comments and thoughts on the survey before the main effort. As such, if you were running this survey what would you do differently? "
"2020/01/27 6:49:34 PM GMT","Yes","Female","40-55","26 - 50 miles","3 - 5","No","Already pay enough taxes","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Status Quo","3","3","3","5","No","Consumers;Government;Local authorities","No","I had a weak understanding of microplastics before taking this survey","No","3","Bachelors degree","Full time employment","£1501 - £2000","8","Nothing"
"2020/01/27 6:53:39 PM GMT","Yes","Female","18-25","26 - 50 miles","6+","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Alternative","4","5","5","5","No","Consumers;Government;Local authorities","Yes","I had an average understanding of microplastics before taking this survey","No","4","Bachelors degree","Student","£0 - 500","7","More specific questions on marine life impacts"
"2020/01/27 6:54:00 PM GMT","Yes","Female","26-39","0 - 25 miles","6+","Yes","","£10 – I am willing and able to pay £10 a year in extra income tax for microplastics to be immediately banned although their effects are unknown.","Alternative","Alternative","Alternative","4","4","4","5","Yes","Consumers;Government;Local authorities","Yes","I had an average understanding of microplastics before taking this survey","Yes","3","Bachelors degree","Full time employment","£2501 - £3000","8","N/A"
"2020/01/27 6:57:05 PM GMT","Yes","Female","26-39","26 - 50 miles","1 - 2","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Status Quo","1","2","3","4","No","Government","No","I had a weak understanding of microplastics before taking this survey","No","5","Postgraduate degree","Full time employment","£3001 - £4000","8","Larger font when using phone to complete "
"2020/01/27 6:58:27 PM GMT","Yes","Male","18-25","100+ miles","1 - 2","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Status Quo","4","5","5","5","Yes","Consumers;Government","No","I had an average understanding of microplastics before taking this survey","No","4","Bachelors degree","Full time employment","£2001 - £2500","10","They survey is thought through well, I would be too lazy to design a survey like this. "
"2020/01/27 7:02:50 PM GMT","Yes","Male","40-55","51 - 100 miles","1 - 2","Yes","","£10 – I am willing and able to pay £10 a year in extra income tax for microplastics to be immediately banned although their effects are unknown.","Alternative","Alternative","Alternative","5","4","5","5","Yes","Consumers;Government","Yes","I had an average understanding of microplastics before taking this survey","Yes","4","Postgraduate degree","Self-Employed","£5000+","10","Nothing "
"2020/01/27 7:15:08 PM GMT","Yes","Male","26-39","26 - 50 miles","0","No","I believe that this kind of policy should be paid for by the companies producing microplastics - this will incentivise the companies to reduce their emissions or find alternatives.","£10 – I am willing and able to pay £10 a year in extra income tax for microplastics to be immediately banned although their effects are unknown.","Alternative","Alternative","Alternative","1","3","5","5","No","Consumers;Government;Local authorities","No","I had an average understanding of microplastics before taking this survey","Yes","5","Postgraduate degree","Student","£1001 - £1500","10","All clear. Good work!"
"2020/01/27 7:24:20 PM GMT","Yes","Male","26-39","0 - 25 miles","6+","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Status Quo","Status Quo","Status Quo","5","3","4","5","Yes","Consumers;Government;Local authorities","No","I had a weak understanding of microplastics before taking this survey","No","4","Bachelors degree","Full time employment","£1501 - £2000","7"," ."
"2020/01/27 7:33:00 PM GMT","Yes","Female","18-25","51 - 100 miles","1 - 2","Yes","","£10 – I am willing and able to pay £10 a year in extra income tax for microplastics to be immediately banned although their effects are unknown.","Alternative","Alternative","Alternative","3","4","4","5","No","Consumers;Government;Local authorities","No","I had an average understanding of microplastics before taking this survey","Yes","4","Bachelors degree","Full time employment","£1501 - £2000","9","Nothing"
"2020/01/27 8:12:10 PM GMT","Yes","Male","26-39","0 - 25 miles","0","Yes","","£10 – I am willing and able to pay £10 a year in extra income tax for microplastics to be immediately banned although their effects are unknown.","Alternative","Alternative","Alternative","3","4","4","5","Yes","Consumers;Government","Yes","I had a strong understanding of microplastics before taking this survey","Yes","5","Postgraduate degree","Full time employment","£2501 - £3000","9","Indicate major sources of microplastic producers"
"2020/01/27 8:21:19 PM GMT","Yes","Female","18-25","26 - 50 miles","1 - 2","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Alternative","2","4","4","5","No","Consumers;Local authorities","No","I had a weak understanding of microplastics before taking this survey","No","4","Bachelors degree","Full time employment","£1501 - £2000","10","Perhaps less emphasis on the fact that prices of products could rise. I understand the need to ensure this is clear yet I felt that I read that statement a fair few times and wouldn’t want that to have an impact on answers. Maybe don’t repeat facts too much. But perfectly clear to follow and complete "
"2020/01/27 8:32:32 PM GMT","Yes","Female","18-25","51 - 100 miles","1 - 2","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Alternative","4","4","5","5","No","Consumers;Government;Local authorities","Yes","I had a weak understanding of microplastics before taking this survey","Yes","4","Postgraduate degree","Full time employment","£1001 - £1500","7","I would think the people taking part in the survey would like to know about any previous study that was conducted on the effects of micro plastics."
"2020/01/27 9:09:01 PM GMT","Yes","Male","26-39","100+ miles","0","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Alternative","1","2","2","5","No","Government","No","I had a weak understanding of microplastics before taking this survey","Yes","5","Bachelors degree","Not in education, employment, training","£0 - 500","10","Could be a bit more extensive!"
"2020/01/27 9:13:11 PM GMT","Yes","Male","18-25","26 - 50 miles","3 - 5","No","There is no guarantee that the money will be used in the most efficient way. Looking at the amount of wasteful spending by both government and various charities. This sort of research should be funded by recouping misspent money. I would only pay should there be a guarentee and accountability that the money will deliver.","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Alternative","1","3","4","5","Yes","Not just one countries government, but all around the world. There is little point a small collective of countries reducing waste when the likes of China can carry on.","No","I had an average understanding of microplastics before taking this survey","No","2","A level or college equivalent","Full time employment","£1501 - £2000","6","Explain in a way that is more simplfied "
"2020/01/27 9:51:20 PM GMT","Yes","Female","26-39","0 - 25 miles","1 - 2","Yes","","£10 – I am willing and able to pay £10 a year in extra income tax for microplastics to be immediately banned although their effects are unknown.","Alternative","Alternative","Alternative","5","5","5","5","Yes","Consumers;Government;Local authorities","Yes","I had an average understanding of microplastics before taking this survey","Yes","4","A level or college equivalent","Full time employment","£1001 - £1500","10","."
"2020/01/27 9:58:14 PM GMT","Yes","Female","26-39","100+ miles","1 - 2","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Status Quo","Status Quo","1","2","3","5","No","Consumers;Government","No","I had an average understanding of microplastics before taking this survey","No","5","Bachelors degree","Full time employment","£3001 - £4000","10","Re: the question about the status quo - the increase of £1 on an essential item like toothpaste, bought a couple of times a month, could be an increase of 100%, whereas on a £30 face scrub/cream bought once a year it would be only 0.3%. (£24 per year vs £1 per year). I think the price of the product and the specific product has a bearing on this question. Also, the utility of the product. People would notice if toothpaste stopped working, maybe a face scrub not so much. "
"2020/01/27 10:23:10 PM GMT","Yes","Male","18-25","0 - 25 miles","1 - 2","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Alternative","4","2","2","5","Yes","Consumers;Government","No","I had a weak understanding of microplastics before taking this survey","No","3","A level or college equivalent","Student","£0 - 500","9","Less info on micro plastics, possibly more concise"
"2020/01/27 10:23:54 PM GMT","Yes","Male","18-25","26 - 50 miles","3 - 5","Yes","","£10 – I am willing and able to pay £10 a year in extra income tax for microplastics to be immediately banned although their effects are unknown.","Alternative","Status Quo","Alternative","4","4","4","5","Yes","Consumers;Government","Yes","I had a weak understanding of microplastics before taking this survey","Yes","4","Postgraduate degree","Full time employment","£2001 - £2500","8","No changes, very easy to follow and also informative."
"2020/01/27 11:41:27 PM GMT","Yes","Male","18-25","51 - 100 miles","0","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Alternative","1","2","3","5","Yes","Government;I believe that companies in distraction/manufacturing need to change the way they do business and package goods, they’re too focused on turning a quick profit that they don’t care about the end game. ","No","I had a weak understanding of microplastics before taking this survey","Yes","3","A level or college equivalent","Full time employment","£2001 - £2500","7","Phrase the questions and tables in a different terminology "
"2020/01/28 3:39:56 AM GMT","Yes","Female","26-39","26 - 50 miles","6+","Yes","","£10 – I am willing and able to pay £10 a year in extra income tax for microplastics to be immediately banned although their effects are unknown.","Alternative","Alternative","Alternative","5","5","5","5","No","Consumers;Government;Local authorities","Yes","I had an average understanding of microplastics before taking this survey","Yes","5","Bachelors degree","Full time employment","£3001 - £4000","9","More diagram/images to make the survey friendly to more people."
"2020/01/28 4:51:40 AM GMT","Yes","Female","26-39","26 - 50 miles","0","No","I Pay enough taxes the government should distribute them better to cover this.","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Status Quo","2","3","3","5","No","Government","No","I had an average understanding of microplastics before taking this survey","No","3","A level or college equivalent","Self-Employed","£3001 - £4000","8","I would rather pay nothing but that was not an option, it was mandatory for me to choose £5 at least"
"2020/01/28 5:34:46 AM GMT","Yes","Male","18-25","26 - 50 miles","1 - 2","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Status Quo","Status Quo","Status Quo","4","4","4","4","No","Local authorities","Yes","I had a strong understanding of microplastics before taking this survey","No","5","A level or college equivalent","Full time employment","£0 - 500","10","No"
"2020/01/28 7:24:51 AM GMT","Yes","Female","18-25","0 - 25 miles","0","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Alternative","5","2","3","5","No","Consumers;Government;Local authorities","Yes","I had a weak understanding of microplastics before taking this survey","Yes","5","Postgraduate degree","Student","£1001 - £1500","10","All good"
"2020/01/28 8:43:41 AM GMT","Yes","Male","26-39","51 - 100 miles","3 - 5","Yes","","£10 – I am willing and able to pay £10 a year in extra income tax for microplastics to be immediately banned although their effects are unknown.","Alternative","Alternative","Alternative","4","5","5","5","Yes","Consumers;Government;Local authorities","No","I had a strong understanding of microplastics before taking this survey","No","4","Postgraduate degree","Full time employment","£3001 - £4000","7","I feel the survey is maybe easier for a better informed to more educated participant, you could simplify it further, especially the explanations for 'status quo vs alternative' to reach a broader audience"
"2020/01/28 10:40:47 AM GMT","Yes","Male","18-25","26 - 50 miles","1 - 2","No","I fundamentally agree with a policy to reduce the amount of microplastic emitted to the sea. However, why the extra fee to implement the policy? It seems fundamentally unevolved to have to pay to minimise microplastic into the ecosystem. Assuming UK population is 66M, divide by 2 (2 is simply arbitrary number to exclude people who wouldn't be eligible for taxation), then that leaves £165M per year for this policy. For what? There must be more viable solutions, Mr King ","£10 – I am willing and able to pay £10 a year in extra income tax for microplastics to be immediately banned although their effects are unknown.","Alternative","Alternative","Status Quo","2","2","3","5","Yes","Government;Local authorities","No","I had an average understanding of microplastics before taking this survey","Yes","4","Postgraduate degree","Student","£501 - £1000","8","I think it was question 2.1- £5 or £10 annually. Perhaps a third option for neither and an explanation why; as in the question prior. "
"2020/01/28 11:29:12 AM GMT","Yes","Male","18-25","51 - 100 miles","1 - 2","Yes","","£10 – I am willing and able to pay £10 a year in extra income tax for microplastics to be immediately banned although their effects are unknown.","Alternative","Alternative","Alternative","2","3","4","5","Yes","Consumers;Government;Local authorities","Yes","I had a strong understanding of microplastics before taking this survey","No","4","Postgraduate degree","Student","£1501 - £2000","8","Potentially more questions around how people personally deal with plastic waste in their home in an attempt to mitigate plastic entering the general waste/environment"
"2020/01/28 6:20:34 PM GMT","Yes","Female","18-25","26 - 50 miles","1 - 2","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Status Quo","4","4","5","5","No","Consumers;Government","No","I had a weak understanding of microplastics before taking this survey","Yes","4","A level or college equivalent","Student","£1001 - £1500","9","Not allow people to say they're 100+ miles from the coast when this is impossible within the UK"
"2020/01/28 7:26:30 PM GMT","Yes","Male","26-39","51 - 100 miles","6+","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Alternative","3","5","5","5","No","Consumers;Government;Local authorities","Yes","I had a weak understanding of microplastics before taking this survey","Yes","3","Postgraduate degree","Student","£1001 - £1500","10","-"
"2020/01/29 11:46:25 AM GMT","Yes","Male","26-39","26 - 50 miles","1 - 2","Yes","","£10 – I am willing and able to pay £10 a year in extra income tax for microplastics to be immediately banned although their effects are unknown.","Alternative","Alternative","Alternative","4","4","4","5","No","Consumers;Government;Local authorities","No","I had an average understanding of microplastics before taking this survey","Yes","4","Postgraduate degree","Student","£0 - 500","9","Your survey is excellent "
"2020/01/29 12:19:09 PM GMT","Yes","Male","18-25","26 - 50 miles","0","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Status Quo","5","5","5","5","No","Consumers;Government;Local authorities","No","I had an average understanding of microplastics before taking this survey","No","3","Postgraduate degree","Student","£1001 - £1500","10","No"
"2020/01/29 12:45:22 PM GMT","Yes","Male","40-55","26 - 50 miles","6+","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Alternative","2","2","3","4","Yes","Consumers;Government;Local authorities;PhD researchers :-)","Yes","I had a strong understanding of microplastics before taking this survey","Yes","5","Postgraduate degree","Student","£1001 - £1500","9","put a huge watermark ""EXAMPLE"" diagonally across the page where you're explaining the choice things, and in the preamble explain that people are going to be presented with three (why not more than three?) choices, and that ""this"" is just an example.  Maybe point out how daft it would be to choose a product that is 100% ineffective.

I was expect a choice scenario which was equivalent to the research question.  why didn't you do that?

Remember that students (eg) don't pay income tax.  if you talk about increasing a tax some people dont pay, those people won't mind any increase.  Maybe say ""your overall tax burden"" or just ""tax"".

in the question asking about peoples confidence that firms would take note of this survey, add a sentence clarifying that the results of this survey will be made available to firms producing products affected.  Otherwise people may think, ""meh, firms probably wont even see this, so I'm sure they won't take any account of it"".

I really think you need a map of the UK with distances shown (to the coast).  I'll make one for you if you buy me a box of posh biscuits.  Which you owe me anyway (cough, Asimov).

Wording in a couple of places still has grammar typos.  Also, you can make the donations to charities wording clearer.

More comments available, for more biscuits."
"2020/01/29 1:10:57 PM GMT","","Male","26-39","100+ miles","1 - 2","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Alternative","4","2","3","5","No","Consumers","No","I had a weak understanding of microplastics before taking this survey","Yes","3","Postgraduate degree","Student","Prefer not to say","10","All is well"
"2020/01/29 1:16:12 PM GMT","Yes","Female","26-39","51 - 100 miles","1 - 2","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Alternative","3","3","3","3","No","Consumers;Government;Local authorities","No","I had a weak understanding of microplastics before taking this survey","No","3","Postgraduate degree","Full time employment","£2001 - £2500","4","NA"
"2020/01/29 3:47:18 PM GMT","Yes","Female","26-39","51 - 100 miles","0","Yes","","£10 – I am willing and able to pay £10 a year in extra income tax for microplastics to be immediately banned although their effects are unknown.","Alternative","Alternative","Alternative","5","2","3","5","No","Consumers;Government;Local authorities","No","I had a strong understanding of microplastics before taking this survey","Yes","4","Postgraduate degree","Student","£501 - £1000","10","Perhaps an example or a description of how paying a larger amount of extra income tax would help to immediately ban  microplastics from being added to products. People might be more inclined to agree to this option if it's clear how it would work."
"2020/01/30 12:39:55 AM GMT","Yes","Female","18-25","51 - 100 miles","1 - 2","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Status Quo","Alternative","Alternative","4","4","4","5","No","Consumers;Government;Local authorities;travelers ","Yes","I had a weak understanding of microplastics before taking this survey","Yes","4","Bachelors degree","Student","Prefer not to say","8","what the benefit of reducing it for marine animals"
"2020/01/30 10:46:51 AM GMT","Yes","Male","18-25","26 - 50 miles","3 - 5","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Alternative","4","5","3","5","No","Local authorities","Yes","I had a strong understanding of microplastics before taking this survey","Yes","4","Bachelors degree","Student","£1501 - £2000","9","NO, everything goes well"
"2020/01/30 3:56:11 PM GMT","Yes","Female","18-25","100+ miles","0","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Alternative","5","4","5","5","No","Consumers;Government;Local authorities","Yes","I had an average understanding of microplastics before taking this survey","Yes","3","Postgraduate degree","Not in education, employment, training","£501 - £1000","8","reduction use of plastic bags"
"2020/01/30 5:32:27 PM GMT","Yes","Male","18-25","26 - 50 miles","1 - 2","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Alternative","4","3","5","5","Yes","Consumers;Government;Local authorities","Yes","I had an average understanding of microplastics before taking this survey","No","3","Bachelors degree","Student","£0 - 500","10","Although informative, the diagram with the text seemed slightly unappealing and laborious to sift through to find the relevant information"
"2020/01/30 6:08:49 PM GMT","Yes","Female","18-25","51 - 100 miles","0","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Alternative","3","4","4","5","No","Consumers;Government;Local authorities;Environment Conservationists","Yes","I had a weak understanding of microplastics before taking this survey","Yes","3","Bachelors degree","Student","£0 - 500","10","A section on whether the survey taker is a native/ citizen/ immigrant could be included."
"2020/01/30 7:52:17 PM GMT","Yes","Male","40-55","51 - 100 miles","1 - 2","Yes","","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Status Quo","Alternative","Status Quo","4","3","3","4","No","Consumers","Yes","I had a weak understanding of microplastics before taking this survey","No","4","Postgraduate degree","Student","£1001 - £1500","4","The option between status quo and alternative could be better. "
"2020/01/30 11:16:42 PM GMT","Yes","Female","40-55","0 - 25 miles","6+","Yes","","£10 – I am willing and able to pay £10 a year in extra income tax for microplastics to be immediately banned although their effects are unknown.","Alternative","Alternative","Alternative","2","4","4","5","Yes","Consumers;Government","No","I had a weak understanding of microplastics before taking this survey","No","2","Postgraduate degree","Full time employment","£5000+","7","Distinguish what is meant by the components of the stays quoted or the alternatives. Do you mean that fit example toothpaste would not work if it had no micro plastics in it? When they were split out it was easier to see."
"2020/01/31 12:05:56 AM GMT","Yes","Male","26-39","0 - 25 miles","1 - 2","Yes","","£10 – I am willing and able to pay £10 a year in extra income tax for microplastics to be immediately banned although their effects are unknown.","Alternative","Alternative","Alternative","3","2","2","5","Yes","Government;Local authorities","Yes","I had an average understanding of microplastics before taking this survey","Yes","5","Postgraduate degree","Full time employment","£2001 - £2500","9","1. Possibly explain the objective of the survey in more detail at the end as if was given at the start then it may lead to people answering in ways that they think they are expected to answer with.
2. Possibly give more options for the answers? 
3. The flow of questions doesn't seem quite right. It feels a little abrupt and doesn't allow for a smooth trail of thought. If this is the intention however, then well done. 
"
"2020/01/31 8:49:55 AM GMT","Yes","Female","18-25","51 - 100 miles","6+","No","You never know for sure that the money is going to go to that cause.  Id rather give it to a company or a charity that deals with that than to the government.","£5 – I am willing and able to pay £5 a year in extra income tax for research to fully understand the effects of microplastics.","Alternative","Alternative","Alternative","4","1","5","5","No","Consumers","No","I had an average understanding of microplastics before taking this survey","No","4","Postgraduate degree","Student","Prefer not to say","10","On the question about if you rather pay 5 or 10 pounds i would give the option of ""id rather not pay extra tax"". As that would be  my answer"
