"","X.3","X.2","X.1","X","ID","Timing","Order","Q1Gender","Q2Age","Q3Distance","Q4Trips","Q5Knowledge","Q6Bid","Q7Bid","Q6ResearchResponse","Q6ResearchCertainty","Q7TreatmentResponse","Q7TreatmentCertainty","Q8DominatedTest","Choice","Q9Block","Q10Block","Q11Block","Q12Block","Q12CECertainty","Q13CurrentThreatToSelf","Q14FutureThreatToSelf","Q15ThreatToEnvironment","Q16BP","Q18Charity","Q19Knowledge","Q20Consequentiality","Q21Experts","Q22Education","Q23Employment","Q24RonaImpact","Q24AIncome","Q25Understanding","Q7Bid2","Q7Response2","Task","av_A","av_B","alt","Price","Performance","Emission","chid","PriceCoef","EmissionCoef","PerformanceCoef","Q6WTP","Q7WTP","Precaution","Q17_Firms","Q17_Cons","Q17_Gov","Q17_LA","Q17_Other","cs","Protestors","FullSurvey2.Q7WTPSB","PrecautionProportion","e0.5","e0.75","e1","e1.25","e1.5","Q6Pro","Q7Pro","LCM2Class","ResearchPointNB","ResearchLowerNB","ResearchUpperNB","WWTPPointNB","WWTPLowerNB","WWTPUpperNB","CosmeticsPointNB","CosmeticsLowerNB","CosmeticsUpperNB"
"13",13,13,13,"7.A",2,347,0,0,47.5,50,0,2,40,40,0,1,0,1,0,TRUE,2,4,3,3,1,3,3,3,1,0,2,2,3,3,6,1,2750,10,20,1,3,1,1,"A",0,0,0,7,-0.412315847000304,0.0232074993385456,-0.0272203838665155,11.9862694815896,42.557732918048,30.5714634364585,1,0,0,0,0,0,0,43.660964291082,0.0926407982922985,0.886197493387504,0.83424915597022,0.785345997286296,0.73930951088145,0.695971654237025,0.0363220287320897,0.128962827024388,2,11.2668450211579,11.8064133664817,8.38914717943133,-6.72284262152034,6.58650989646527,-137.298382189866,-41.5922935444063,-41.5922935444063,-41.5922935444063
"14",14,14,14,"7.B",2,347,0,0,47.5,50,0,2,40,40,0,1,0,1,0,FALSE,2,4,3,3,1,3,3,3,1,0,2,2,3,3,6,1,2750,10,20,1,3,1,1,"B",5,10,90,7,-0.412315847000304,0.0232074993385456,-0.0272203838665155,11.9862694815896,42.557732918048,30.5714634364585,1,0,0,0,0,0,0,43.660964291082,0.0926407982922985,0.886197493387504,0.83424915597022,0.785345997286296,0.73930951088145,0.695971654237025,0.0363220287320897,0.128962827024388,2,11.2668450211579,11.8064133664817,8.38914717943133,-6.72284262152034,6.58650989646527,-137.298382189866,-41.5922935444063,-41.5922935444063,-41.5922935444063
"15",15,15,15,"8.A",2,347,0,0,47.5,50,0,2,40,40,0,1,0,1,0,TRUE,2,4,3,3,1,3,3,3,1,0,2,2,3,3,6,1,2750,10,20,1,4,1,1,"A",0,0,0,8,-0.305925166277558,0.0312783020205989,-0.0366867354070931,11.9862694815896,42.557732918048,30.5714634364585,1,0,0,0,0,0,0,43.660964291082,0.0926407982922985,0.886197493387504,0.83424915597022,0.785345997286296,0.73930951088145,0.695971654237025,0.0363220287320897,0.128962827024388,2,11.2668450211579,11.8064133664817,8.38914717943133,-6.72284262152034,6.58650989646527,-137.298382189866,-40.785213276201,-40.785213276201,-40.785213276201
"16",16,16,16,"8.B",2,347,0,0,47.5,50,0,2,40,40,0,1,0,1,0,FALSE,2,4,3,3,1,3,3,3,1,0,2,2,3,3,6,1,2750,10,20,1,4,1,1,"B",1,10,40,8,-0.305925166277558,0.0312783020205989,-0.0366867354070931,11.9862694815896,42.557732918048,30.5714634364585,1,0,0,0,0,0,0,43.660964291082,0.0926407982922985,0.886197493387504,0.83424915597022,0.785345997286296,0.73930951088145,0.695971654237025,0.0363220287320897,0.128962827024388,2,11.2668450211579,11.8064133664817,8.38914717943133,-6.72284262152034,6.58650989646527,-137.298382189866,-40.785213276201,-40.785213276201,-40.785213276201
"17",17,17,17,"9.A",3,282,0,0,63,6.5,3,3,60,5,0,1,0,1,0,TRUE,2,3,2,2,1,3,2,3,0,0,2,0,2,2,2,0,3500,8,2,1,1,1,1,"A",0,0,0,9,-0.30354931311113,0.0315231144767184,-0.0369738791847861,22.8528000108056,47.0551222344559,24.2023222236503,1,1,1,1,0,0,0,49.7327514464905,0.0576245767229769,0.785530119916719,0.696216422102281,0.617057569296375,0.546898969541994,0.484717306404901,0.0544114285971562,0.112036005320133,2,22.1333755503739,22.6729438956977,19.2556777086473,-2.22545330511245,11.0838992128732,-132.800992873458,-40.760732030589,-40.760732030589,-40.760732030589
"18",18,18,18,"9.B",3,282,0,0,63,6.5,3,3,60,5,0,1,0,1,0,FALSE,2,3,2,2,1,3,2,3,0,0,2,0,2,2,2,0,3500,8,2,1,1,1,1,"B",1,50,90,9,-0.30354931311113,0.0315231144767184,-0.0369738791847861,22.8528000108056,47.0551222344559,24.2023222236503,1,1,1,1,0,0,0,49.7327514464905,0.0576245767229769,0.785530119916719,0.696216422102281,0.617057569296375,0.546898969541994,0.484717306404901,0.0544114285971562,0.112036005320133,2,22.1333755503739,22.6729438956977,19.2556777086473,-2.22545330511245,11.0838992128732,-132.800992873458,-40.760732030589,-40.760732030589,-40.760732030589
"19",19,19,19,"10.A",3,282,0,0,63,6.5,3,3,60,5,0,1,0,1,0,TRUE,2,3,2,2,1,3,2,3,0,0,2,0,2,2,2,0,3500,8,2,1,2,1,1,"A",0,0,0,10,-0.278044785531207,0.0344146707453983,-0.0403654238944037,22.8528000108056,47.0551222344559,24.2023222236503,1,1,1,1,0,0,0,49.7327514464905,0.0576245767229769,0.785530119916719,0.696216422102281,0.617057569296375,0.546898969541994,0.484717306404901,0.0544114285971562,0.112036005320133,2,22.1333755503739,22.6729438956977,19.2556777086473,-2.22545330511245,11.0838992128732,-132.800992873458,-40.471576403721,-40.471576403721,-40.471576403721
"20",20,20,20,"10.B",3,282,0,0,63,6.5,3,3,60,5,0,1,0,1,0,FALSE,2,3,2,2,1,3,2,3,0,0,2,0,2,2,2,0,3500,8,2,1,2,1,1,"B",0.5,5,40,10,-0.278044785531207,0.0344146707453983,-0.0403654238944037,22.8528000108056,47.0551222344559,24.2023222236503,1,1,1,1,0,0,0,49.7327514464905,0.0576245767229769,0.785530119916719,0.696216422102281,0.617057569296375,0.546898969541994,0.484717306404901,0.0544114285971562,0.112036005320133,2,22.1333755503739,22.6729438956977,19.2556777086473,-2.22545330511245,11.0838992128732,-132.800992873458,-40.471576403721,-40.471576403721,-40.471576403721
"21",21,21,21,"11.A",3,282,0,0,63,6.5,3,3,60,5,0,1,0,1,0,TRUE,2,3,2,2,1,3,2,3,0,0,2,0,2,2,2,0,3500,8,2,1,3,1,1,"A",0,0,0,11,-0.295341499068313,0.0323991710501818,-0.0380014175623851,22.8528000108056,47.0551222344559,24.2023222236503,1,1,1,1,0,0,0,49.7327514464905,0.0576245767229769,0.785530119916719,0.696216422102281,0.617057569296375,0.546898969541994,0.484717306404901,0.0544114285971562,0.112036005320133,2,22.1333755503739,22.6729438956977,19.2556777086473,-2.22545330511245,11.0838992128732,-132.800992873458,-40.6731263732427,-40.6731263732427,-40.6731263732427
"22",22,22,22,"11.B",3,282,0,0,63,6.5,3,3,60,5,0,1,0,1,0,FALSE,2,3,2,2,1,3,2,3,0,0,2,0,2,2,2,0,3500,8,2,1,3,1,1,"B",1,5,10,11,-0.295341499068313,0.0323991710501818,-0.0380014175623851,22.8528000108056,47.0551222344559,24.2023222236503,1,1,1,1,0,0,0,49.7327514464905,0.0576245767229769,0.785530119916719,0.696216422102281,0.617057569296375,0.546898969541994,0.484717306404901,0.0544114285971562,0.112036005320133,2,22.1333755503739,22.6729438956977,19.2556777086473,-2.22545330511245,11.0838992128732,-132.800992873458,-40.6731263732427,-40.6731263732427,-40.6731263732427
"23",23,23,23,"12.A",3,282,0,0,63,6.5,3,3,60,5,0,1,0,1,0,TRUE,2,3,2,2,1,3,2,3,0,0,2,0,2,2,2,0,3500,8,2,1,4,1,1,"A",0,0,0,12,-0.312176411750765,0.0306519627567856,-0.0359520937749655,22.8528000108056,47.0551222344559,24.2023222236503,1,1,1,1,0,0,0,49.7327514464905,0.0576245767229769,0.785530119916719,0.696216422102281,0.617057569296375,0.546898969541994,0.484717306404901,0.0544114285971562,0.112036005320133,2,22.1333755503739,22.6729438956977,19.2556777086473,-2.22545330511245,11.0838992128732,-132.800992873458,-40.8478472025823,-40.8478472025823,-40.8478472025823
"24",24,24,24,"12.B",3,282,0,0,63,6.5,3,3,60,5,0,1,0,1,0,FALSE,2,3,2,2,1,3,2,3,0,0,2,0,2,2,2,0,3500,8,2,1,4,1,1,"B",2.5,50,10,12,-0.312176411750765,0.0306519627567856,-0.0359520937749655,22.8528000108056,47.0551222344559,24.2023222236503,1,1,1,1,0,0,0,49.7327514464905,0.0576245767229769,0.785530119916719,0.696216422102281,0.617057569296375,0.546898969541994,0.484717306404901,0.0544114285971562,0.112036005320133,2,22.1333755503739,22.6729438956977,19.2556777086473,-2.22545330511245,11.0838992128732,-132.800992873458,-40.8478472025823,-40.8478472025823,-40.8478472025823
"25",25,25,25,"13.A",4,131,1,0,32.5,15.5,2,2,60,50,1,2,1,2,0,FALSE,4,1,3,1,2,5,5,5,1,0,3,1,3,3,4,0,1750,6,100,1,1,1,1,"A",0,0,0,13,-0.113866576683267,0.0840353686327829,-0.098566198760984,33.3523900883615,52.048770269695,18.6963801813336,0,0,1,0,0,1,0,59.7084821006542,0.0890303818158743,1.11090734923879,1.17089178717315,1.23411513859275,1.30075229153399,1.37098757726953,0.158820905182674,0.247851286998548,1,32.6329656279298,33.1725339732536,29.7552677862032,2.76819473012665,16.0775472481123,-127.807344838219,-35.5095066149826,-35.5095066149826,-35.5095066149826
"26",26,26,26,"13.B",4,131,1,0,32.5,15.5,2,2,60,50,1,2,1,2,0,TRUE,4,1,3,1,2,5,5,5,1,0,3,1,3,3,4,0,1750,6,100,1,1,1,1,"B",2.5,10,10,13,-0.113866576683267,0.0840353686327829,-0.098566198760984,33.3523900883615,52.048770269695,18.6963801813336,0,0,1,0,0,1,0,59.7084821006542,0.0890303818158743,1.11090734923879,1.17089178717315,1.23411513859275,1.30075229153399,1.37098757726953,0.158820905182674,0.247851286998548,1,32.6329656279298,33.1725339732536,29.7552677862032,2.76819473012665,16.0775472481123,-127.807344838219,-35.5095066149826,-35.5095066149826,-35.5095066149826
"27",27,27,27,"14.A",4,131,1,0,32.5,15.5,2,2,60,50,1,2,1,2,0,FALSE,4,1,3,1,2,5,5,5,1,0,3,1,3,3,4,0,1750,6,100,1,2,1,1,"A",0,0,0,14,-0.223686596880542,0.0427777966135429,-0.0501746451781797,33.3523900883615,52.048770269695,18.6963801813336,0,0,1,0,0,1,0,59.7084821006542,0.0890303818158743,1.11090734923879,1.17089178717315,1.23411513859275,1.30075229153399,1.37098757726953,0.158820905182674,0.247851286998548,1,32.6329656279298,33.1725339732536,29.7552677862032,2.76819473012665,16.0775472481123,-127.807344838219,-39.6352638169066,-39.6352638169066,-39.6352638169066
"28",28,28,28,"14.B",4,131,1,0,32.5,15.5,2,2,60,50,1,2,1,2,0,TRUE,4,1,3,1,2,5,5,5,1,0,3,1,3,3,4,0,1750,6,100,1,2,1,1,"B",0.5,10,10,14,-0.223686596880542,0.0427777966135429,-0.0501746451781797,33.3523900883615,52.048770269695,18.6963801813336,0,0,1,0,0,1,0,59.7084821006542,0.0890303818158743,1.11090734923879,1.17089178717315,1.23411513859275,1.30075229153399,1.37098757726953,0.158820905182674,0.247851286998548,1,32.6329656279298,33.1725339732536,29.7552677862032,2.76819473012665,16.0775472481123,-127.807344838219,-39.6352638169066,-39.6352638169066,-39.6352638169066
"29",29,29,29,"15.A",4,131,1,0,32.5,15.5,2,2,60,50,1,2,1,2,0,TRUE,4,1,3,1,2,5,5,5,1,0,3,1,3,3,4,0,1750,6,100,1,3,1,1,"A",0,0,0,15,-0.426551558205473,0.0224329733708815,-0.0263119320834583,33.3523900883615,52.048770269695,18.6963801813336,0,0,1,0,0,0,0,59.7084821006542,0.0890303818158743,1.11090734923879,1.17089178717315,1.23411513859275,1.30075229153399,1.37098757726953,0.158820905182674,0.247851286998548,1,32.6329656279298,33.1725339732536,29.7552677862032,2.76819473012665,16.0775472481123,-127.807344838219,-41.6697461411727,-41.6697461411727,-41.6697461411727
"30",30,30,30,"15.B",4,131,1,0,32.5,15.5,2,2,60,50,1,2,1,2,0,FALSE,4,1,3,1,2,5,5,5,1,0,3,1,3,3,4,0,1750,6,100,1,3,1,1,"B",5,10,90,15,-0.426551558205473,0.0224329733708815,-0.0263119320834583,33.3523900883615,52.048770269695,18.6963801813336,0,0,1,0,0,0,0,59.7084821006542,0.0890303818158743,1.11090734923879,1.17089178717315,1.23411513859275,1.30075229153399,1.37098757726953,0.158820905182674,0.247851286998548,1,32.6329656279298,33.1725339732536,29.7552677862032,2.76819473012665,16.0775472481123,-127.807344838219,-41.6697461411727,-41.6697461411727,-41.6697461411727
"31",31,31,31,"16.A",4,131,1,0,32.5,15.5,2,2,60,50,1,2,1,2,0,FALSE,4,1,3,1,2,5,5,5,1,0,3,1,3,3,4,0,1750,6,100,1,4,1,1,"A",0,0,0,16,-0.217109240223626,0.0440737563112255,-0.0516946935010019,33.3523900883615,52.048770269695,18.6963801813336,0,0,1,0,0,1,0,59.7084821006542,0.0890303818158743,1.11090734923879,1.17089178717315,1.23411513859275,1.30075229153399,1.37098757726953,0.158820905182674,0.247851286998548,1,32.6329656279298,33.1725339732536,29.7552677862032,2.76819473012665,16.0775472481123,-127.807344838219,-39.5056678471383,-39.5056678471383,-39.5056678471383
"32",32,32,32,"16.B",4,131,1,0,32.5,15.5,2,2,60,50,1,2,1,2,0,TRUE,4,1,3,1,2,5,5,5,1,0,3,1,3,3,4,0,1750,6,100,1,4,1,1,"B",0.5,50,10,16,-0.217109240223626,0.0440737563112255,-0.0516946935010019,33.3523900883615,52.048770269695,18.6963801813336,0,0,1,0,0,1,0,59.7084821006542,0.0890303818158743,1.11090734923879,1.17089178717315,1.23411513859275,1.30075229153399,1.37098757726953,0.158820905182674,0.247851286998548,1,32.6329656279298,33.1725339732536,29.7552677862032,2.76819473012665,16.0775472481123,-127.807344838219,-39.5056678471383,-39.5056678471383,-39.5056678471383
"33",33,33,33,"17.A",5,601,1,1,47.5,6.5,3,5,30,40,1,1,1,1,0,FALSE,2,2,2,1,2,3,5,5,0,0,5,1,4,1,6,1,1250,10,80,0,1,1,1,"A",0,0,0,17,-0.226590183394828,0.0422296306184542,-0.0495316940100588,25.6618405481041,41.7578438658692,16.0960033177651,1,1,1,1,0,1,0,58.2120636589026,0.107306688785101,1.31444330194568,1.50699838382601,1.72776119402985,1.98086393166305,2.2710441288542,0.171078936987361,0.278385625772461,2,24.9424160876724,25.4819844329962,22.0647182459458,-7.52273167369915,5.78662084428647,-138.098271242044,-39.6900804164154,-39.6900804164154,-39.6900804164154
"34",34,34,34,"17.B",5,601,1,1,47.5,6.5,3,5,30,40,1,1,1,1,0,TRUE,2,2,2,1,2,3,5,5,0,0,5,1,4,1,6,1,1250,10,80,0,1,1,1,"B",1,50,90,17,-0.226590183394828,0.0422296306184542,-0.0495316940100588,25.6618405481041,41.7578438658692,16.0960033177651,1,1,1,1,0,1,0,58.2120636589026,0.107306688785101,1.31444330194568,1.50699838382601,1.72776119402985,1.98086393166305,2.2710441288542,0.171078936987361,0.278385625772461,2,24.9424160876724,25.4819844329962,22.0647182459458,-7.52273167369915,5.78662084428647,-138.098271242044,-39.6900804164154,-39.6900804164154,-39.6900804164154
"35",35,35,35,"18.A",5,601,1,1,47.5,6.5,3,5,30,40,1,1,1,1,0,TRUE,2,2,2,1,2,3,5,5,0,0,5,1,4,1,6,1,1250,10,80,0,2,1,1,"A",0,0,0,18,-0.424577791272136,0.0225372592331335,-0.0264342503548473,25.6618405481041,41.7578438658692,16.0960033177651,1,1,1,1,0,0,0,58.2120636589026,0.107306688785101,1.31444330194568,1.50699838382601,1.72776119402985,1.98086393166305,2.2710441288542,0.171078936987361,0.278385625772461,2,24.9424160876724,25.4819844329962,22.0647182459458,-7.52273167369915,5.78662084428647,-138.098271242044,-41.6593175549475,-41.6593175549475,-41.6593175549475
"36",36,36,36,"18.B",5,601,1,1,47.5,6.5,3,5,30,40,1,1,1,1,0,FALSE,2,2,2,1,2,3,5,5,0,0,5,1,4,1,6,1,1250,10,80,0,2,1,1,"B",2.5,5,40,18,-0.424577791272136,0.0225372592331335,-0.0264342503548473,25.6618405481041,41.7578438658692,16.0960033177651,1,1,1,1,0,0,0,58.2120636589026,0.107306688785101,1.31444330194568,1.50699838382601,1.72776119402985,1.98086393166305,2.2710441288542,0.171078936987361,0.278385625772461,2,24.9424160876724,25.4819844329962,22.0647182459458,-7.52273167369915,5.78662084428647,-138.098271242044,-41.6593175549475,-41.6593175549475,-41.6593175549475
"37",37,37,37,"19.A",5,601,1,1,47.5,6.5,3,5,30,40,1,1,1,1,0,FALSE,2,2,2,1,2,3,5,5,0,0,5,1,4,1,6,1,1250,10,80,0,3,1,1,"A",0,0,0,19,-0.220824704629535,0.0433321976478332,-0.0508249095065001,25.6618405481041,41.7578438658692,16.0960033177651,1,1,1,1,0,1,0,58.2120636589026,0.107306688785101,1.31444330194568,1.50699838382601,1.72776119402985,1.98086393166305,2.2710441288542,0.171078936987361,0.278385625772461,2,24.9424160876724,25.4819844329962,22.0647182459458,-7.52273167369915,5.78662084428647,-138.098271242044,-39.5798237134775,-39.5798237134775,-39.5798237134775
"38",38,38,38,"19.B",5,601,1,1,47.5,6.5,3,5,30,40,1,1,1,1,0,TRUE,2,2,2,1,2,3,5,5,0,0,5,1,4,1,6,1,1250,10,80,0,3,1,1,"B",1,5,10,19,-0.220824704629535,0.0433321976478332,-0.0508249095065001,25.6618405481041,41.7578438658692,16.0960033177651,1,1,1,1,0,1,0,58.2120636589026,0.107306688785101,1.31444330194568,1.50699838382601,1.72776119402985,1.98086393166305,2.2710441288542,0.171078936987361,0.278385625772461,2,24.9424160876724,25.4819844329962,22.0647182459458,-7.52273167369915,5.78662084428647,-138.098271242044,-39.5798237134775,-39.5798237134775,-39.5798237134775
"39",39,39,39,"20.A",5,601,1,1,47.5,6.5,3,5,30,40,1,1,1,1,0,FALSE,2,2,2,1,2,3,5,5,0,0,5,1,4,1,6,1,1250,10,80,0,4,1,1,"A",0,0,0,20,-0.229600086730235,0.0416760284493016,-0.0488823666812569,25.6618405481041,41.7578438658692,16.0960033177651,1,1,1,1,0,1,0,58.2120636589026,0.107306688785101,1.31444330194568,1.50699838382601,1.72776119402985,1.98086393166305,2.2710441288542,0.171078936987361,0.278385625772461,2,24.9424160876724,25.4819844329962,22.0647182459458,-7.52273167369915,5.78662084428647,-138.098271242044,-39.7454406333307,-39.7454406333307,-39.7454406333307
