"","ID","Timing","Order","Q1Gender","Q2Age","Q3Distance","Q4Trips","Q5Knowledge","Q6Bid","Q7Bid","Q6ResearchResponse","Q6ResearchCertainty","Q7TreatmentResponse","Q7TreatmentCertainty","Q7Bid2Upper","Q7Bid2Lower","Q7TreatmentUpperResponse","Q7TreatmentLowerResponse","Q8DominatedTest","Q9Block","Q9Performance","Q9Emission","Q9Price","Q10Block","Q10Performance","Q10Emission","Q10Price","Q11Block","Q11Performance","Q11Emission","Q11Price","Q12Block","Q12Performance","Q12Emission","Q12Price","Q9Choice","Q10Choice","Q11Choice","Q12Choice","Q12CECertainty","Q13CurrentThreatToSelf","Q14FutureThreatToSelf","Q15ThreatToEnvironment","Q16BP","Q17_Firms","Q17_Cons","Q17_Gov","Q17_LA","Q17_Other","Q18Charity","Q19Knowledge","Q20Consequentiality","Q21Experts","Q22Education","Q23Employment","Q24RonaImpact","Q24AIncome","Q25Understanding","Q7Bid2","Q7Response2","IncomeDummy"
"28",28,234,0,0,21.5,50,1,3,50,5,1,2,1,2,0,NA,0,NA,0,1,0.5,0.9,1,1,0.05,0.4,2.5,2,0.1,0.9,5,1,0.5,0.1,2.5,0,1,0,1,1,4,4,4,1,0,0,0,1,0,1,2,2,3,3,2,1,1750,1,10,0,0
"29",29,307,1,1,71,50,0,3,30,10,0,1,1,2,6,NA,0,NA,1,0,0.5,0.4,5,2,0.05,0.4,0.5,1,0.05,0.1,1,3,0.05,0.1,5,1,1,0,0,1,4,4,5,0,0,1,1,1,0,0,3,0,3,2,4,0,2750,9,20,0,1
"30",30,319,1,1,21.5,50,1,2,5,50,1,1,1,1,1,NA,1,NA,0,1,0.5,0.9,1,2,0.05,0.4,0.5,2,0.1,0.9,5,1,0.5,0.1,2.5,1,1,0,1,1,3,3,3,1,0,1,0,0,0,0,3,0,3,3,1,0,1250,6,100,1,0
"31",31,279,1,1,21.5,50,1,2,40,60,1,1,0,1,NA,5,NA,1,0,1,0.5,0.9,1,0,0.1,0.1,0.5,0,0.05,0.9,2.5,2,0.1,0.4,1,0,0,0,1,2,3,2,2,2,0,0,1,0,0,1,2,2,3,2,4,1,750,10,30,1,0
"32",32,317,0,1,47.5,15.5,0,1,60,70,0,2,0,2,NA,6,NA,0,0,0,0.5,0.4,5,1,0.05,0.4,2.5,2,0.1,0.9,5,1,0.5,0.1,2.5,0,0,0,0,2,1,1,1,0,1,1,1,1,0,0,1,0,1,2,6,0,5000,10,35,0,1
"33",33,758,1,0,32.5,15.5,2,4,60,70,1,2,1,2,3,NA,0,NA,0,2,0.05,0.1,5,1,0.05,0.4,2.5,0,0.05,0.9,2.5,1,0.5,0.1,2.5,1,1,1,1,1,4,5,5,1,1,1,1,1,0,1,3,2,5,4,6,1,2750,8,140,0,1
"34",34,360,0,0,32.5,15.5,0,2,20,60,0,0,0,0,NA,5,NA,0,0,0,0.5,0.4,5,1,0.05,0.4,2.5,1,0.05,0.1,1,0,0.5,0.1,0.5,0,0,1,0,2,3,4,4,0,1,1,1,1,0,0,2,1,3,2,4,1,750,9,30,0,0
"35",35,355,1,1,32.5,50,2,5,10,50,1,2,1,1,1,NA,1,NA,0,0,0.5,0.4,5,2,0.05,0.4,0.5,1,0.05,0.1,1,1,0.5,0.1,2.5,1,0,1,0,2,4,4,4,1,1,1,1,1,0,1,4,2,4,4,4,1,1250,10,100,1,0
"36",36,476,0,0,21.5,15.5,3,3,5,5,0,0,0,0,NA,2,NA,1,1,1,0.5,0.9,1,2,0.05,0.4,0.5,3,0.05,0.9,0.5,0,0.5,0.1,0.5,1,1,1,0,1,3,3,3,1,0,0,1,0,0,0,3,1,3,3,6,0,1250,5,2,1,0
"37",37,473,1,0,63,50,2,1,40,5,0,2,1,2,0,NA,1,NA,1,1,0.5,0.9,1,1,0.05,0.4,2.5,3,0.05,0.9,0.5,2,0.1,0.4,1,0,1,1,0,1,3,4,4,0,1,1,0,0,0,0,1,1,3,2,4,0,750,6,10,1,0
"38",38,244,1,0,21.5,50,0,1,10,5,0,0,0,1,NA,2,NA,0,1,1,0.5,0.9,1,2,0.05,0.4,0.5,1,0.05,0.1,1,2,0.1,0.4,1,1,1,1,1,0,4,4,4,0,0,0,0,1,0,2,4,1,4,4,3,2,2250,7,2,0,1
"39",39,705,1,1,21.5,6.5,3,3,50,50,1,1,1,2,1,NA,0,NA,0,3,0.1,0.1,2.5,2,0.05,0.4,0.5,2,0.1,0.9,5,1,0.5,0.1,2.5,1,1,1,1,1,3,5,4,2,1,1,1,0,1,0,4,2,4,2,3,0,250,8,100,0,0
"40",40,542,0,1,63,50,1,2,50,30,0,2,1,2,9,NA,1,NA,0,1,0.5,0.9,1,0,0.1,0.1,0.5,2,0.1,0.9,5,1,0.5,0.1,2.5,1,1,1,0,2,1,2,4,1,0,1,1,0,0,0,2,0,2,4,6,0,5000,9,60,1,1
"41",41,238,0,0,63,50,3,3,50,40,1,2,1,1,10,NA,1,NA,1,2,0.05,0.1,5,1,0.05,0.4,2.5,2,0.1,0.9,5,1,0.5,0.1,2.5,1,1,1,1,1,4,4,5,1,1,1,1,1,0,0,3,1,3,4,6,0,5000,10,80,1,1
"42",42,373,0,0,63,35,3,4,50,30,1,2,1,2,9,NA,1,NA,1,3,0.1,0.1,2.5,3,0.05,0.1,2.5,2,0.1,0.9,5,1,0.5,0.1,2.5,1,1,1,1,1,4,4,4,1,0,0,1,1,0,1,3,2,4,1,4,1,750,9,60,1,0
"43",43,389,1,1,47.5,50,1,5,30,40,1,2,1,2,10,NA,1,NA,0,2,0.05,0.1,5,2,0.05,0.4,0.5,0,0.05,0.9,2.5,3,0.05,0.1,5,0,0,0,0,2,5,5,5,2,0,0,0,0,1,1,5,2,5,1,1,1,1250,10,80,1,0
"44",44,330,0,0,32.5,50,1,3,40,60,0,1,0,1,NA,5,NA,1,0,2,0.05,0.1,5,1,0.05,0.4,2.5,1,0.05,0.1,1,2,0.1,0.4,1,1,1,1,1,1,3,4,4,0,1,1,1,1,0,0,3,1,3,4,6,0,2750,9,30,1,1
"45",45,255,1,1,47.5,1,1,5,5,70,1,2,1,2,3,NA,1,NA,0,1,0.5,0.9,1,2,0.05,0.4,0.5,1,0.05,0.1,1,0,0.5,0.1,0.5,1,1,1,1,2,5,5,5,2,1,1,1,1,0,1,5,2,5,4,6,1,2250,10,140,1,1
"46",46,878,1,1,32.5,15.5,2,5,20,30,0,1,0,2,NA,1,NA,0,1,1,0.5,0.9,1,3,0.05,0.1,2.5,0,0.05,0.9,2.5,2,0.1,0.4,1,1,1,1,1,2,5,5,5,2,1,1,1,1,0,0,5,2,5,3,1,1,250,10,15,0,0
"47",47,677,0,0,32.5,35,1,3,50,20,0,2,1,1,8,NA,0,NA,0,2,0.05,0.1,5,2,0.05,0.4,0.5,1,0.05,0.1,1,2,0.1,0.4,1,0,0,1,1,1,2,3,4,0,1,1,1,0,0,0,4,1,4,1,4,0,2250,10,40,0,1
"48",48,738,1,1,32.5,50,0,3,50,5,1,1,1,2,0,NA,1,NA,0,0,0.5,0.4,5,2,0.05,0.4,0.5,2,0.1,0.9,5,2,0.1,0.4,1,0,1,0,1,1,4,5,5,1,1,1,1,1,1,1,2,1,4,3,6,1,1250,9,10,1,0
"49",49,565,0,0,32.5,1,0,1,50,50,1,0,1,0,1,NA,0,NA,0,2,0.05,0.1,5,1,0.05,0.4,2.5,2,0.1,0.9,5,0,0.5,0.1,0.5,0,1,1,1,0,3,4,4,0,1,1,1,1,0,1,3,1,3,2,4,0,2750,10,100,0,1
"50",50,396,0,1,47.5,15.5,3,4,70,60,1,2,1,2,2,NA,1,NA,0,3,0.1,0.1,2.5,2,0.05,0.4,0.5,2,0.1,0.9,5,2,0.1,0.4,1,1,1,1,1,2,4,4,5,2,1,1,1,1,0,1,4,2,5,3,6,0,4500,10,120,1,1
"51",51,218,0,0,32.5,6.5,1,3,10,5,1,2,1,2,0,NA,1,NA,0,1,0.5,0.9,1,1,0.05,0.4,2.5,2,0.1,0.9,5,1,0.5,0.1,2.5,0,0,0,1,2,5,5,5,0,0,0,1,0,0,1,2,0,5,1,6,0,1750,10,10,1,0
"52",52,425,0,1,32.5,15.5,2,1,30,50,0,0,0,0,NA,4,NA,1,1,2,0.05,0.1,5,2,0.05,0.4,0.5,2,0.1,0.9,5,0,0.5,0.1,0.5,0,1,0,1,0,3,4,3,1,0,0,1,1,0,2,2,2,3,3,6,1,1750,6,25,1,0
"53",53,176,1,0,21.5,50,1,2,20,60,0,0,1,1,2,NA,1,NA,0,0,0.5,0.4,5,1,0.05,0.4,2.5,0,0.05,0.9,2.5,1,0.5,0.1,2.5,0,0,1,1,1,4,4,3,0,0,1,0,0,0,0,2,1,4,2,3,1,1750,8,120,1,0
"54",54,201,0,1,32.5,6.5,3,4,20,5,1,2,1,2,0,NA,1,NA,0,1,0.5,0.9,1,2,0.05,0.4,0.5,0,0.05,0.9,2.5,1,0.5,0.1,2.5,0,0,0,1,1,3,3,2,1,1,0,0,0,0,1,4,1,3,3,6,0,1750,8,10,1,0
"55",55,272,0,1,32.5,35,1,1,70,30,0,2,0,2,NA,1,NA,0,0,2,0.05,0.1,5,1,0.05,0.4,2.5,1,0.05,0.1,1,1,0.5,0.1,2.5,0,0,0,0,2,1,2,4,0,0,0,0,1,0,0,1,0,2,1,1,0,250,10,15,0,0
"56",56,346,1,0,21.5,35,1,5,60,60,1,1,1,1,2,NA,0,NA,1,1,0.5,0.9,1,3,0.05,0.1,2.5,2,0.1,0.9,5,2,0.1,0.4,1,0,0,0,0,2,5,2,4,2,1,0,0,0,0,1,4,2,4,2,4,0,250,10,120,0,0
"57",57,296,1,0,47.5,6.5,3,2,30,70,1,1,1,1,3,NA,0,NA,0,0,0.5,0.4,5,2,0.05,0.4,0.5,1,0.05,0.1,1,0,0.5,0.1,0.5,1,1,0,0,1,3,3,4,1,1,1,0,0,0,1,2,1,3,1,6,1,750,10,140,0,0
"58",58,255,1,0,21.5,35,1,2,5,5,1,1,1,1,0,NA,1,NA,0,2,0.05,0.1,5,3,0.05,0.1,2.5,2,0.1,0.9,5,3,0.05,0.1,5,1,1,1,1,2,3,3,4,1,0,0,1,1,0,0,2,1,4,2,3,0,750,10,10,1,0
"59",59,548,1,1,63,1,1,5,30,20,0,2,0,2,NA,0,NA,0,1,1,0.5,0.9,1,2,0.05,0.4,0.5,2,0.1,0.9,5,1,0.5,0.1,2.5,1,1,1,1,2,5,5,5,2,0,1,0,0,0,1,5,2,5,0,2,1,1750,10,10,0,0
"60",60,377,1,1,47.5,15.5,3,1,5,30,1,1,0,1,NA,1,NA,0,1,0,0.5,0.4,5,1,0.05,0.4,2.5,2,0.1,0.9,5,2,0.1,0.4,1,0,0,0,0,1,5,5,5,1,1,1,0,0,0,0,4,2,5,1,6,0,2750,7,15,0,1
"61",61,302,1,0,21.5,35,1,4,70,60,0,1,0,1,NA,5,NA,0,0,2,0.05,0.1,5,1,0.05,0.4,2.5,1,0.05,0.1,1,0,0.5,0.1,0.5,1,1,1,0,1,2,4,5,0,1,0,0,0,0,0,3,2,4,3,3,0,2250,8,30,0,1
"62",62,418,1,0,63,50,0,2,50,70,0,2,1,1,3,NA,0,NA,1,2,0.05,0.1,5,2,0.05,0.4,0.5,0,0.05,0.9,2.5,1,0.5,0.1,2.5,0,0,1,0,2,3,4,5,1,1,0,0,0,0,2,3,1,5,3,2,0,5000,8,140,0,1
"63",63,1393,1,0,63,50,2,3,40,20,1,1,1,2,8,NA,1,NA,0,2,0.05,0.1,5,3,0.05,0.1,2.5,1,0.05,0.1,1,2,0.1,0.4,1,1,1,1,1,1,4,4,4,1,0,1,1,0,0,1,3,2,4,3,0,0,1250,10,40,1,0
"64",64,896,0,1,47.5,50,1,1,10,5,1,2,1,2,0,NA,1,NA,1,1,0.5,0.9,1,1,0.05,0.4,2.5,3,0.05,0.9,0.5,3,0.05,0.1,5,1,1,1,1,2,3,5,5,0,1,0,0,0,0,0,4,2,5,0,6,0,1250,10,10,1,0
"65",65,218,0,0,32.5,6.5,1,2,20,50,0,2,0,2,NA,4,NA,0,0,1,0.5,0.9,1,1,0.05,0.4,2.5,2,0.1,0.9,5,2,0.1,0.4,1,0,0,0,0,1,4,4,4,0,0,0,1,0,0,2,3,0,3,1,6,1,750,8,25,0,0
"66",66,231,1,1,47.5,50,1,2,5,20,1,1,0,0,NA,0,NA,1,1,3,0.1,0.1,2.5,2,0.05,0.4,0.5,1,0.05,0.1,1,1,0.5,0.1,2.5,1,1,1,1,2,3,5,3,1,1,1,1,1,0,0,2,0,3,1,6,0,2250,10,10,1,1
"67",67,334,1,0,47.5,1,3,4,50,30,1,1,1,1,9,NA,1,NA,1,0,0.5,0.4,5,0,0.1,0.1,0.5,3,0.05,0.9,0.5,2,0.1,0.4,1,1,1,1,1,1,3,3,3,2,1,1,1,1,0,0,4,2,3,3,6,1,5000,10,60,1,1
"68",68,258,1,0,47.5,15.5,3,3,70,50,0,1,0,2,NA,4,NA,1,0,1,0.5,0.9,1,0,0.1,0.1,0.5,0,0.05,0.9,2.5,3,0.05,0.1,5,0,0,0,0,2,3,3,3,1,0,0,1,0,0,0,2,1,3,3,6,0,2250,8,25,1,1
"69",69,136,0,0,32.5,15.5,1,4,30,5,0,1,0,1,NA,2,NA,1,0,2,0.05,0.1,5,1,0.05,0.4,2.5,1,0.05,0.1,1,3,0.05,0.1,5,0,0,0,0,1,3,3,4,1,0,0,1,0,0,0,3,2,3,3,6,0,2250,10,2,1,1
"70",70,139,0,1,21.5,35,1,3,10,30,1,0,1,1,9,NA,1,NA,0,2,0.05,0.1,5,2,0.05,0.4,0.5,1,0.05,0.1,1,1,0.5,0.1,2.5,1,1,0,1,2,2,4,5,1,0,1,1,0,0,0,4,2,3,2,3,1,250,10,60,1,0
"71",71,189,1,1,47.5,15.5,3,1,60,40,0,2,0,2,NA,3,NA,0,0,2,0.05,0.1,5,2,0.05,0.4,0.5,3,0.05,0.9,0.5,1,0.5,0.1,2.5,0,0,0,0,2,3,3,3,0,0,0,1,0,0,0,1,0,3,3,6,0,4500,10,20,0,1
"72",72,335,0,1,63,15.5,2,3,70,40,0,1,0,0,NA,3,NA,1,1,1,0.5,0.9,1,1,0.05,0.4,2.5,3,0.05,0.9,0.5,1,0.5,0.1,2.5,1,1,1,1,1,4,5,5,1,1,1,1,1,0,0,3,0,3,4,6,0,5000,9,20,1,1
"73",73,246,0,0,32.5,15.5,1,4,5,50,1,1,1,1,1,NA,0,NA,0,3,0.1,0.1,2.5,2,0.05,0.4,0.5,1,0.05,0.1,1,1,0.5,0.1,2.5,1,1,1,1,1,3,4,5,2,1,0,0,0,0,0,3,2,4,3,6,1,1250,10,100,0,0
"74",74,298,0,1,47.5,6.5,3,4,5,50,1,1,1,1,1,NA,1,NA,0,2,0.05,0.1,5,1,0.05,0.4,2.5,0,0.05,0.9,2.5,1,0.5,0.1,2.5,0,0,0,0,1,4,4,4,2,1,1,1,1,0,0,3,2,4,2,6,1,1750,10,100,1,0
"75",75,549,0,1,63,1,3,3,60,5,1,2,1,2,0,NA,1,NA,1,3,0.1,0.1,2.5,1,0.05,0.4,2.5,2,0.1,0.9,5,3,0.05,0.1,5,1,1,1,0,2,3,4,5,1,1,0,1,0,0,1,3,0,5,3,6,0,3500,10,10,1,1
"76",76,1020,1,1,47.5,35,2,4,50,20,0,1,1,2,8,NA,1,NA,0,1,0.5,0.9,1,1,0.05,0.4,2.5,1,0.05,0.1,1,2,0.1,0.4,1,1,1,1,1,1,3,4,5,1,1,1,0,0,0,1,4,2,5,3,6,0,3500,10,40,1,1
"77",77,358,1,0,21.5,1,3,3,50,10,0,1,1,1,6,NA,0,NA,1,3,0.1,0.1,2.5,1,0.05,0.4,2.5,2,0.1,0.9,5,1,0.5,0.1,2.5,0,1,1,0,2,4,5,4,0,1,1,1,1,0,0,4,0,2,4,6,1,2250,10,20,0,1
"78",78,1151,1,0,47.5,35,1,3,50,5,1,1,1,1,0,NA,1,NA,0,2,0.05,0.1,5,3,0.05,0.1,2.5,2,0.1,0.9,5,2,0.1,0.4,1,1,1,1,1,1,3,4,4,1,1,1,1,0,1,1,4,2,4,4,1,0,1250,9,10,1,0
"79",79,162,0,1,47.5,15.5,1,2,70,40,0,0,0,0,NA,3,NA,0,0,0,0.5,0.4,5,3,0.05,0.1,2.5,3,0.05,0.9,0.5,3,0.05,0.1,5,0,0,0,0,0,3,3,3,0,0,0,1,0,0,2,2,1,3,2,6,1,2750,10,20,0,1
"80",80,296,1,1,47.5,35,3,3,10,5,1,1,1,2,0,NA,1,NA,1,1,0.5,0.9,1,3,0.05,0.1,2.5,2,0.1,0.9,5,3,0.05,0.1,5,1,1,0,1,2,2,3,3,2,1,1,1,1,0,0,3,2,3,4,6,1,2250,10,10,1,1
"81",81,280,0,0,32.5,50,0,1,70,50,0,2,0,2,NA,4,NA,0,0,2,0.05,0.1,5,1,0.05,0.4,2.5,0,0.05,0.9,2.5,1,0.5,0.1,2.5,0,0,0,0,2,3,3,3,0,1,0,0,0,0,0,1,1,3,4,6,0,1250,10,25,0,0
"82",82,622,1,0,32.5,35,1,4,20,20,0,1,1,2,8,NA,1,NA,0,2,0.05,0.1,5,3,0.05,0.1,2.5,2,0.1,0.9,5,3,0.05,0.1,5,0,1,1,0,1,4,3,5,1,0,1,0,0,0,0,4,2,4,4,6,1,1250,7,40,1,0
"83",83,340,1,1,63,35,1,2,70,10,0,1,1,2,6,NA,1,NA,0,1,0.5,0.9,1,0,0.1,0.1,0.5,3,0.05,0.9,0.5,2,0.1,0.4,1,1,1,1,1,1,3,2,3,1,1,0,0,0,0,0,3,1,3,4,6,1,5000,5,20,1,1
"84",84,1227,1,1,32.5,15.5,2,5,50,30,1,2,1,2,9,NA,1,NA,1,3,0.1,0.1,2.5,2,0.05,0.4,0.5,0,0.05,0.9,2.5,0,0.5,0.1,0.5,1,1,1,1,2,5,5,5,2,0,1,0,0,0,1,5,2,5,4,6,1,4500,10,60,1,1
"85",85,122,1,0,21.5,6.5,2,2,20,50,1,1,1,1,1,NA,1,NA,0,3,0.1,0.1,2.5,3,0.05,0.1,2.5,3,0.05,0.9,0.5,0,0.5,0.1,0.5,0,1,0,1,2,3,3,2,1,1,0,0,0,0,1,2,2,2,3,5,0,2250,4,100,1,1
"86",86,347,1,0,47.5,35,3,2,10,10,1,1,1,1,6,NA,1,NA,0,2,0.05,0.1,5,3,0.05,0.1,2.5,0,0.05,0.9,2.5,1,0.5,0.1,2.5,0,0,0,0,1,3,3,3,1,0,0,1,0,0,1,3,2,3,1,1,0,250,10,20,1,0
