Respondent,InterviewDuration,RandVar,S1,Q01,Q02,Q03,Q04,Q05,Q06Num,Q07Num,Q06,Q06a,Q06b,Q06b_TXT,Q06c,Q07,Q07a,Q07bNum,Q07cNum,Q07b,Q07c,Q07d,Q07d_TXT,Q08,Q08b,Q08b_TXT,Q09Var,Q09varA,Q09varB,Q09varC,Q10Var,Q10varA,Q10varB,Q10varC,Q11Var,Q11varA,Q11varB,Q11varC,Q12Var,Q12varA,Q12varB,Q12varC,Q09,Q10,Q11,Q12,Q12b,Q13,Q14,Q15,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_80,Q17_TXT,Q18,Q19,Q20,Q21,Q22,Q23,Q24a,Q24,Q25,Q26,Q26_TXT
17,484,1,Yes,Male,40-55,50+ miles,0,Good knowledge,5,30,Yes,Very sure,,,Question skipped,Yes,Very sure,60,,Yes,Question skipped,,,Option B,,Seems sensible,3,5%,10%,£5,1,10%,10%,£0.50,3,10%,90%,£5,1,50%,10%,£0.50,Option A,Option A,Option B,Option A,Very sure,3,4,5 – Completely agree,All of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,Prefer not to say,Good knowledge,Yes,5 – Very confident,Bachelor’s degree,Full-time employment,No,£2001-£2500,10 - Perfectly clear,Chosen,No further comments
18,416,1,Yes,Female,26-39,11-20 miles,6+,Little knowledge,30,20,Yes,Quite sure,,,Question skipped,Yes,Very sure,40,,Yes,Question skipped,,,Option A,Chosen,Don't know,3,5%,10%,£5,3,5%,4%,£0.50,1,5%,90%,£2.50,4,5%,10%,£5,Option A,Option B,Option B,Option A,Quite sure,2,3,3,None of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Average knowledge,Yes,3,Bachelor’s degree,Full-time employment,No,£1501-£2000,10 - Perfectly clear,Chosen,No further comments
20,459,2,Yes,Female,40-55,3-10 miles,6+,Little knowledge,60,40,No,Very sure,,we cannot afford to to be honest,Very sure,No,Very sure,,20,Question skipped,No,,we cannot afford it,Option A,,no cost,3,5%,10%,£5,3,5%,4%,£0.50,2,5%,10%,£1,2,50%,10%,£2.50,Option A,Option B,Option A,Option A,Very sure,3,3,4,Some of it,Chosen,Not chosen,Chosen,Not chosen,Not chosen,,Yes,Average knowledge,No,3,Postgraduate degree,Full-time employment,Yes,£1501-£2000,10 - Perfectly clear,Not chosen,
21,164,2,Yes,Female,18-25,11-20 miles,01-Feb,Average knowledge,30,40,Yes,Quite sure,,,Question skipped,No,Unsure,,20,Question skipped,No,Chosen,Don't know,Option B,Chosen,Don't know,3,5%,10%,£5,3,5%,4%,£0.50,3,10%,90%,£5,1,50%,10%,£0.50,Option B,Option B,Option B,Option A,Very sure,5 – Completely agree,3,2,None of it,Chosen,Not chosen,Chosen,Chosen,Not chosen,,Prefer not to say,Little knowledge,Yes,5 – Very confident,Bachelor’s degree,Part-time employment,Yes,£501-£1000,10 - Perfectly clear,Chosen,No further comments
22,156,2,Yes,Male,40-55,50+ miles,03-May,Average knowledge,5,40,Yes,Very sure,,,Question skipped,Yes,Very sure,80,,Yes,Question skipped,,,Option A,Chosen,Don't know,2,50%,90%,£1,3,5%,4%,£0.50,2,5%,10%,£1,3,10%,40%,£1,Option A,Option A,Option A,Option B,Very sure,3,3,3,Some of it,Not chosen,Chosen,Not chosen,Not chosen,Not chosen,,Yes,Little knowledge,Yes,2,Postgraduate degree,Full-time employment,Yes,£2001-£2500,5,Not chosen,
23,204,2,Yes,Male,40-55,11-20 miles,03-May,Good knowledge,50,40,No,Quite sure,,Cost,Very sure,No,Very sure,,20,Question skipped,Yes,,Cost,Option A,,Value,2,50%,90%,£1,3,5%,4%,£0.50,4,5%,90%,£0.50,2,50%,10%,£2.50,Option A,Option A,Option A,Option A,Very sure,4,4,3,Some of it,Not chosen,Not chosen,Chosen,Not chosen,Not chosen,,No,Good knowledge,Yes,4,Postgraduate degree,Full-time employment,No,£5001+,9,Chosen,No further comments
24,667,2,Yes,Female,26-39,21-49 miles,03-May,Average knowledge,10,30,Yes,Quite sure,,,Question skipped,No,Very sure,,15,Question skipped,No,,"In my opiniom, the goverment should cover most cost like that. i can help with little extra cost like £10 per year but not to much. As I am playing taxes so the money should be split on it too..",Option B,,I prefer to get bit worrest quality od products but without microplastic,4,10%,10%,£2.50,4,5%,10%,£1,3,10%,90%,£5,4,5%,10%,£5,Option B,Option B,Option B,Option B,Very sure,5 – Completely agree,5 – Completely agree,4,None of it,Chosen,Not chosen,Chosen,Chosen,Not chosen,,No,Average knowledge,No,5 – Very confident,A level or college equivalent,Full-time employment,Yes,£2001-£2500,10 - Perfectly clear,Chosen,No further comments
25,660,2,Yes,Female,40-55,0-2 miles,6+,No knowledge,5,40,No,Very sure,,I pay enough for bills.,Very sure,No,Very sure,,20,Question skipped,No,,I would be willing to pay an extra pound per month.,Option B,,It would hurt the environment less.,2,50%,90%,£1,2,5%,40%,£2.50,2,5%,10%,£1,1,50%,10%,£0.50,Option B,Option B,Option B,Option B,Very sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,All of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Little knowledge,Yes,5 – Very confident,A level or college equivalent,Part-time employment,Yes,£501-£1000,10 - Perfectly clear,Chosen,No further comments
26,334,2,Yes,Female,40-55,21-49 miles,03-May,Average knowledge,50,60,Yes,Unsure,,,Question skipped,Yes,Quite sure,120,,No,Question skipped,,,Option A,,Do not want a 90% reduction in performance,2,50%,90%,£1,3,5%,4%,£0.50,2,5%,10%,£1,3,10%,40%,£1,Option A,Option B,Option B,Option B,Very sure,4,4,5 – Completely agree,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,Yes,Average knowledge,Don’t know,4,Bachelor’s degree,Full-time employment,Yes,£2001-£2500,7,Chosen,No further comments
27,617,1,Yes,Male,56-70,11-20 miles,01-Feb,No knowledge,10,20,No,Very sure,,I don’t have any additional money for bills,Very sure,No,Very sure,,10,Question skipped,No,,I have no extra money to pay for additional costs to my monthly outgoings,Option A,,No additional cost,3,5%,10%,£5,2,5%,40%,£2.50,1,5%,90%,£2.50,4,5%,10%,£5,Option A,Option A,Option A,Option A,Very sure,3,3,3,None of it,Not chosen,Not chosen,Chosen,Not chosen,Not chosen,,No,No knowledge,Don’t know,4,GCSE’s / O levels,Full-time employment,Yes,Prefer not to say,6,Chosen,No further comments
28,755,2,Yes,Female,40-55,0-2 miles,6+,Good knowledge,40,30,Yes,Quite sure,,,Question skipped,Yes,Very sure,60,,Yes,Question skipped,,,Option B,,The advantages of the product providing the same level of protection vastly out weights the relatively small cost.  These types of products are not purchased particularly regularly,1,50%,40%,£5,2,5%,40%,£2.50,2,5%,10%,£1,1,50%,10%,£0.50,Option A,Option B,Option B,Option A,Quite sure,4,4,4,Some of it,Chosen,Chosen,Chosen,Chosen,Chosen,Everyone,Yes,Good knowledge,Yes,4,A level or college equivalent,Part-time employment,Yes,Prefer not to say,10 - Perfectly clear,Chosen,No further comments
30,495,1,Yes,Female,56-70,21-49 miles,03-May,Average knowledge,70,40,No,Very sure,,I couldn't possibly afford it and would have to cut down water use,Very sure,No,Unsure,,20,Question skipped,Yes,,I want to help and could pay £20 a year more but not £40. Already living on a very tight budget,Option B,,"This is not a helpful or useful question as there is no price base - would it be a price rise of £5 on a £1 toothpaste pack if  so, no chance. If it is a £5 price rise on a £25 cosmetic, then yes. Bit disappointing that an organisation such as yours does not shape questions better",3,5%,10%,£5,4,5%,10%,£1,2,5%,10%,£1,2,50%,10%,£2.50,Option B,Option B,Option B,Option A,Quite sure,3,4,5 – Completely agree,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Average knowledge,No,4,Bachelor’s degree,Part-time employment,Yes,£2001-£2500,6,,See my earlier comments about a poorly phrased question
31,245,2,Yes,Male,26-39,50+ miles,01-Feb,Little knowledge,50,40,No,Quite sure,Chosen,Don't know,Quite sure,No,Quite sure,,20,Question skipped,No,Chosen,Don't know,Option A,Chosen,Don't know,4,10%,10%,£2.50,4,5%,10%,£1,2,5%,10%,£1,2,50%,10%,£2.50,Option A,Option A,Option A,Option A,Quite sure,3,3,3,None of it,Not chosen,Not chosen,Chosen,Not chosen,Not chosen,,No,Little knowledge,Yes,3,A level or college equivalent,Full-time employment,Yes,£1001-£1500,7,Chosen,No further comments
33,500,2,Yes,Male,40-55,21-49 miles,0,Average knowledge,10,10,No,Very sure,,money should come from elsewhere,Very sure,No,Very sure,,5,Question skipped,No,,money should come from water companiy pprofits if they were remnationalised,Option A,,cost,3,5%,10%,£5,3,5%,4%,£0.50,3,10%,90%,£5,3,10%,40%,£1,Option A,Option B,Option A,Option B,Very sure,2,2,4,None of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,Average knowledge,No,4,Bachelor’s degree,Full-time employment,No,£1001-£1500,10 - Perfectly clear,Chosen,No further comments
34,418,2,Yes,Male,26-39,0-2 miles,6+,Good knowledge,60,70,No,Very sure,,I don't have so much money,Very sure,No,Very sure,,35,Question skipped,Yes,,I want to help,Option B,,I don't want microplastics in my creams,2,50%,90%,£1,3,5%,4%,£0.50,3,10%,90%,£5,3,10%,40%,£1,Option B,Option B,Option B,Option B,Very sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,Some of it,Chosen,Chosen,Chosen,Not chosen,Not chosen,,Yes,Good knowledge,Yes,4,Postgraduate degree,Full-time employment,No,£4001-£5000,10 - Perfectly clear,,thanks
35,608,2,Yes,Male,56-70,11-20 miles,6+,Average knowledge,70,70,No,Very sure,,Should be a global issue,Very sure,Yes,Quite sure,140,,Yes,Question skipped,,,Option A,,Too large a reduction in the productivity,2,50%,90%,£1,1,10%,10%,£0.50,3,10%,90%,£5,1,50%,10%,£0.50,Option B,Option B,Option B,Option A,Quite sure,4,4,5 – Completely agree,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Average knowledge,Don’t know,3,Bachelor’s degree,Retired,No,£2501-£3000,9,Chosen,No further comments
36,694,2,Yes,Male,26-39,21-49 miles,01-Feb,Strong knowledge,20,30,Yes,Very sure,,,Question skipped,Yes,Very sure,60,,Yes,Question skipped,,,Option A,,Nothing,2,50%,90%,£1,4,5%,10%,£1,3,10%,90%,£5,1,50%,10%,£0.50,Option B,Option B,Option B,Option A,Quite sure,3,5 – Completely agree,3,Some of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,Yes,Average knowledge,Yes,4,Postgraduate degree,Part-time employment,Yes,£5001+,10 - Perfectly clear,Chosen,No further comments
38,234,1,Yes,Female,18-25,Don’t know,01-Feb,Average knowledge,50,5,Yes,Very sure,,,Question skipped,Yes,Very sure,10,,No,Question skipped,,,Option A,,None,2,50%,90%,£1,2,5%,40%,£2.50,3,10%,90%,£5,2,50%,10%,£2.50,Option A,Option B,Option A,Option B,Quite sure,4,4,4,Some of it,Not chosen,Not chosen,Not chosen,Chosen,Not chosen,,Yes,Little knowledge,Yes,3,Bachelor’s degree,Retired,Yes,Prefer not to say,1 - Did not understand,Chosen,No further comments
39,307,2,Yes,Male,71+,50+ miles,0,Average knowledge,30,10,No,Quite sure,,i dont know where my money will go,Quite sure,Yes,Very sure,20,,No,Question skipped,,,Option B,,"it will be more ""green""",1,50%,40%,£5,3,5%,4%,£0.50,2,5%,10%,£1,4,5%,10%,£5,Option B,Option B,Option A,Option A,Quite sure,4,4,5 – Completely agree,None of it,Not chosen,Chosen,Chosen,Chosen,Not chosen,,No,Average knowledge,No,3,A level or college equivalent,Part-time employment,No,£2501-£3000,9,Chosen,No further comments
42,319,2,Yes,Male,18-25,50+ miles,01-Feb,Little knowledge,5,50,Yes,Quite sure,,,Question skipped,Yes,Quite sure,100,,Yes,Question skipped,,,Option A,,It’s smoke,2,50%,90%,£1,3,5%,4%,£0.50,3,10%,90%,£5,2,50%,10%,£2.50,Option B,Option B,Option A,Option B,Quite sure,3,3,3,Some of it,Not chosen,Chosen,Not chosen,Not chosen,Not chosen,,No,Average knowledge,No,3,Bachelor’s degree,"Not in education, employment or training",No,£1001-£1500,6,,Good
43,279,2,Yes,Male,18-25,50+ miles,01-Feb,Little knowledge,40,60,Yes,Quite sure,,,Question skipped,No,Quite sure,,30,Question skipped,Yes,,my bills are already to high as they are,Option A,,im not willing to pay anything on top of what i already pay.,2,50%,90%,£1,1,10%,10%,£0.50,1,5%,90%,£2.50,3,10%,40%,£1,Option A,Option A,Option A,Option B,Very sure,3,2,2,All of it,Not chosen,Not chosen,Chosen,Not chosen,Not chosen,,Yes,Little knowledge,Yes,3,A level or college equivalent,Part-time employment,Yes,£501-£1000,10 - Perfectly clear,Chosen,No further comments
44,317,1,Yes,Male,40-55,11-20 miles,0,No knowledge,60,70,No,Very sure,,See prev ans,Very sure,No,Very sure,,35,Question skipped,No,,Do I not pay enough as it is?let the shareholders dip into their deep pockets,Option A,,"Money,simple",1,50%,40%,£5,2,5%,40%,£2.50,3,10%,90%,£5,2,50%,10%,£2.50,Option A,Option A,Option A,Option A,Very sure,1 – Completely disagree,1 – Completely disagree,1 – Completely disagree,None of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,No knowledge,No,1 – Very unconfident,A level or college equivalent,Full-time employment,No,£5001+,10 - Perfectly clear,Chosen,No further comments
45,758,2,Yes,Female,26-39,11-20 miles,03-May,Good knowledge,60,70,Yes,Very sure,,,Question skipped,Yes,Very sure,140,,No,Question skipped,,,Option A,,Reduction in personal products?! Sounds dangerously brave & audacious,3,5%,10%,£5,2,5%,40%,£2.50,1,5%,90%,£2.50,2,50%,10%,£2.50,Option B,Option B,Option B,Option B,Quite sure,4,5 – Completely agree,5 – Completely agree,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,Yes,Average knowledge,Yes,5 – Very confident,Postgraduate degree,Full-time employment,Yes,£2501-£3000,8,,Thank u Sir David attenborough😀😀xx
46,360,1,Yes,Female,26-39,Don’t know,0,Little knowledge,20,60,No,Unsure,Chosen,Don't know,Very sure,No,Unsure,,30,Question skipped,No,,Earning low wage,Option A,,Price,1,50%,40%,£5,2,5%,40%,£2.50,2,5%,10%,£1,1,50%,10%,£0.50,Option A,Option A,Option B,Option A,Very sure,3,4,4,None of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Little knowledge,Don’t know,3,A level or college equivalent,Part-time employment,Yes,£501-£1000,9,Chosen,No further comments
48,355,2,Yes,Male,26-39,50+ miles,03-May,Strong knowledge,10,50,Yes,Very sure,,,Question skipped,Yes,Quite sure,100,,Yes,Question skipped,,,Option A,,"The increase in price and reduction in performance did not affect the number of microplastics released into the environment,",1,50%,40%,£5,3,5%,4%,£0.50,2,5%,10%,£1,2,50%,10%,£2.50,Option B,Option A,Option B,Option A,Very sure,4,4,4,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,Yes,Good knowledge,Yes,4,Postgraduate degree,Part-time employment,Yes,£1001-£1500,10 - Perfectly clear,Chosen,No further comments
49,476,1,Yes,Female,18-25,11-20 miles,6+,Average knowledge,5,5,No,Unsure,,Already pay enough in water,Very sure,No,Unsure,,2,Question skipped,Yes,,,Option B,Chosen,Don't know,2,50%,90%,£1,3,5%,4%,£0.50,4,5%,90%,£0.50,1,50%,10%,£0.50,Option B,Option B,Option B,Option A,Quite sure,3,3,3,Some of it,Not chosen,Not chosen,Chosen,Not chosen,Not chosen,,No,Average knowledge,Don’t know,3,Bachelor’s degree,Full-time employment,No,£1001-£1500,5,Chosen,No further comments
50,473,2,Yes,Female,56-70,50+ miles,03-May,No knowledge,40,5,No,Very sure,,Could not afford to,Very sure,Yes,Very sure,10,,Yes,Question skipped,,,Option B,,Affordable,2,50%,90%,£1,2,5%,40%,£2.50,4,5%,90%,£0.50,3,10%,40%,£1,Option A,Option B,Option B,Option A,Quite sure,3,4,4,None of it,Chosen,Chosen,Not chosen,Not chosen,Not chosen,,No,No knowledge,Don’t know,3,A level or college equivalent,Part-time employment,No,£501-£1000,6,Chosen,No further comments
51,244,2,Yes,Female,18-25,Don’t know,0,No knowledge,10,5,No,Unsure,Chosen,Don't know,Quite sure,No,Quite sure,,2,Question skipped,No,Chosen,Don't know,Option B,Chosen,Don't know,2,50%,90%,£1,3,5%,4%,£0.50,2,5%,10%,£1,3,10%,40%,£1,Option B,Option B,Option B,Option B,Unsure,4,4,4,None of it,Not chosen,Not chosen,Not chosen,Chosen,Not chosen,,Prefer not to say,Good knowledge,Don’t know,4,Postgraduate degree,Student,Prefer not to say,£2001-£2500,7,Not chosen,
53,705,2,Yes,Male,18-25,3-10 miles,6+,Average knowledge,50,50,Yes,Quite sure,,,Question skipped,Yes,Very sure,100,,No,Question skipped,,,Option A,,"The additional option shown in the table shows no reduction in the amount of plastic entering the environment, with a 90% increase in change and a £5 cost increase. Even if this was more natural products used, £5 for no change in environmental protection and a different product feel wouldn't be in my best interest",4,10%,10%,£2.50,3,5%,4%,£0.50,3,10%,90%,£5,2,50%,10%,£2.50,Option B,Option B,Option B,Option B,Quite sure,3,5 – Completely agree,4,All of it,Chosen,Chosen,Chosen,Not chosen,Chosen,UN + EU programs,No,Good knowledge,Yes,4,A level or college equivalent,Student,No,£0-£500,8,,"I liked the information panels and explanation panels as well as the topic, very educational and reflective"
54,542,1,Yes,Male,56-70,50+ miles,01-Feb,Little knowledge,50,30,No,Very sure,,It seems self evident that it cannot be right for plastics to keep entering the environment irrespective of the damage to human health. I would be prepared to pay to prevent this but not to pay to research it. Research would have to cover long term damage to other areas besides human health and would be a huge task that would take many years. Surely it would be more sensible simply to stop the issue from requiring research.,Very sure,Yes,Very sure,60,,Yes,Question skipped,,,Option A,,There would be no change in the release of plastics into the environment so why have a product that costs more and is less effective?,2,50%,90%,£1,1,10%,10%,£0.50,3,10%,90%,£5,2,50%,10%,£2.50,Option B,Option B,Option B,Option A,Very sure,1 – Completely disagree,2,4,Some of it,Not chosen,Chosen,Chosen,Not chosen,Not chosen,,No,Little knowledge,No,2,Postgraduate degree,Full-time employment,No,£5001+,9,Chosen,No further comments
55,238,1,Yes,Female,56-70,50+ miles,6+,Average knowledge,50,40,Yes,Very sure,,,Question skipped,Yes,Quite sure,80,,Yes,Question skipped,,,Option B,Chosen,Don't know,3,5%,10%,£5,2,5%,40%,£2.50,3,10%,90%,£5,2,50%,10%,£2.50,Option B,Option B,Option B,Option B,Quite sure,4,4,5 – Completely agree,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Average knowledge,Don’t know,3,Postgraduate degree,Full-time employment,No,£5001+,10 - Perfectly clear,Chosen,No further comments
57,373,1,Yes,Female,56-70,21-49 miles,6+,Good knowledge,50,30,Yes,Very sure,,,Question skipped,Yes,Very sure,60,,Yes,Question skipped,,,Option B,,Be wise I can afford to pay extra for these goods to save the environment,4,10%,10%,£2.50,4,5%,10%,£1,3,10%,90%,£5,2,50%,10%,£2.50,Option B,Option B,Option B,Option B,Quite sure,4,4,4,Some of it,Not chosen,Not chosen,Chosen,Chosen,Not chosen,,Yes,Average knowledge,Yes,4,GCSE’s / O levels,Part-time employment,Yes,£501-£1000,9,,O
58,389,2,Yes,Male,40-55,50+ miles,01-Feb,Strong knowledge,30,40,Yes,Very sure,,,Question skipped,Yes,Very sure,80,,Yes,Question skipped,,,Option A,,I am not sure,3,5%,10%,£5,3,5%,4%,£0.50,1,5%,90%,£2.50,4,5%,10%,£5,Option A,Option A,Option A,Option A,Very sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,All of it,Not chosen,Not chosen,Not chosen,Not chosen,Chosen,Unemployed,Yes,Strong knowledge,Yes,5 – Very confident,GCSE’s / O levels,"Not in education, employment or training",Yes,£1001-£1500,10 - Perfectly clear,,I am not sure
59,330,1,Yes,Female,26-39,50+ miles,01-Feb,Average knowledge,40,60,No,Quite sure,Chosen,Don't know,Unsure,No,Quite sure,,30,Question skipped,Yes,,,Option A,Chosen,Don't know,3,5%,10%,£5,2,5%,40%,£2.50,2,5%,10%,£1,3,10%,40%,£1,Option B,Option B,Option B,Option B,Quite sure,3,4,4,None of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Average knowledge,Don’t know,3,Postgraduate degree,Full-time employment,No,£2501-£3000,9,Not chosen,
60,255,2,Yes,Male,40-55,0-2 miles,01-Feb,Strong knowledge,5,70,Yes,Very sure,,,Question skipped,Yes,Very sure,140,,Yes,Question skipped,,,Option A,Chosen,Don't know,2,50%,90%,£1,3,5%,4%,£0.50,2,5%,10%,£1,1,50%,10%,£0.50,Option B,Option B,Option B,Option B,Very sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,All of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,Yes,Strong knowledge,Yes,5 – Very confident,Postgraduate degree,Full-time employment,Yes,£2001-£2500,10 - Perfectly clear,Chosen,No further comments
61,878,2,Yes,Male,26-39,11-20 miles,03-May,Strong knowledge,20,30,No,Quite sure,,It could affect my Finance.,Very sure,No,Very sure,,15,Question skipped,No,,It would be pointless and I have fiance difficulty with bills come in and fast,Option B,,They do more things the other one as well,2,50%,90%,£1,4,5%,10%,£1,1,5%,90%,£2.50,3,10%,40%,£1,Option B,Option B,Option B,Option B,Very sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,All of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Strong knowledge,Yes,5 – Very confident,Bachelor’s degree,"Not in education, employment or training",Yes,£0-£500,10 - Perfectly clear,Chosen,No further comments
